Season,og Team,Team,GP ,W,L,OT,PTS,GF,GA,DIFF ,HOME ,AWAY ,
2005-06,1 p-DET,DET,82,58,16,8,124,305,209,96,27-9-5,31-7-3,
2005-06,2 z-OTT,OTT,82,52,21,9,113,314,211,103,29-9-3,23-12-6,
2005-06,3 y-DAL,DAL,82,53,23,6,112,265,218,47,28-11-2,25-12-4,
2005-06,4 y-CAR,CAR,82,52,22,8,112,294,260,34,31-8-2,21-14-6,
2005-06,5 x-BUF,BUF,82,52,24,6,110,281,239,42,27-11-3,25-13-3,
2005-06,6 x-NSH,NSH,82,49,25,8,106,259,227,32,32-8-1,17-17-7,
2005-06,7 y-CAL,CAL,82,46,25,11,103,218,200,18,30-7-4,16-18-7,
2005-06,8 y-NJD,NJD,82,46,27,9,101,242,229,13,27-11-3,19-16-6,
2005-06,9 x-PHI,PHI,82,45,26,11,101,267,259,8,22-13-6,23-13-5,
2005-06,10 x-NYR,NYR,82,44,26,12,100,257,215,42,25-10-6,19-16-6,
2005-06,11 x-SJS,SJS,82,44,27,11,99,266,242,24,25-9-7,19-18-4,
2005-06,12 x-ANA,ANA,82,43,27,12,98,254,229,25,26-10-5,17-17-7,
2005-06,13 x-COL,COL,82,43,30,9,95,283,257,26,25-10-6,18-20-3,
2005-06,14 x-EDM,EDM,82,41,28,13,95,256,251,5,20-15-6,21-13-7,
2005-06,15 x-MTL,MTL,82,42,31,9,93,243,247,-4,24-13-4,18-18-5,
2005-06,16 x-TBL,TBL,82,43,33,6,92,252,260,-8,25-14-2,18-19-4,
2005-06,17 VAN,VAN,82,42,32,8,92,256,255,1,25-10-6,17-22-2,
2005-06,18 TOR,TOR,82,41,33,8,90,257,270,-13,26-12-3,15-21-5,
2005-06,19 ATL,ATL,82,41,33,8,90,281,275,6,24-13-4,17-20-4,
2005-06,20 LAK,LAK,82,42,35,5,89,249,270,-21,26-14-1,16-21-4,
2005-06,21 FLA,FLA,82,37,34,11,85,240,257,-17,25-11-5,12/23/2006,
2005-06,22 MIN,MIN,82,38,36,8,84,231,215,16,23-16-2,15-20-6,
2005-06,23 PHX,PHX,82,38,39,5,81,246,271,-25,19-18-4,19-21-1,
2005-06,24 NYI,NYI,82,36,40,6,78,230,278,-48,20-18-3,16-22-3,
2005-06,25 CBJ,CBJ,82,35,43,4,74,223,279,-56,23-18-0,12/25/2004,
2005-06,26 BOS,BOS,82,29,37,16,74,230,266,-36,16-15-10,13-22-6,
2005-06,27 WSH,WSH,82,29,41,12,70,237,306,-69,16-18-7,13-23-5,
2005-06,28 CHI,CHI,82,26,43,13,65,211,285,-74,16-19-6,10/24/2007,
2005-06,29 PIT,PIT,82,22,46,14,58,244,316,-72,12/21/2008,10/25/2006,
2005-06,30 STL,STL,82,21,46,15,57,197,292,-95,12/23/2006,9/23/2009,
2006-07,BUF,BUF,82,53,22,7,113,308,242,66,28-10-3,25-12-4,
2006-07,DET,DET,82,50,19,13,113,254,199,55,29-4-8,21-15-5,
2006-07,3 x-NSH,NSH,82,51,23,8,110,272,212,60,28-8-5,23-15-3,
2006-07,4 y-ANA,ANA,82,48,20,14,110,258,208,50,26-6-9,22-14-5,
2006-07,5 x-SJS,SJS,82,51,26,5,107,258,199,59,25-12-4,26-14-1,
2006-07,6 x-DAL,DAL,82,50,25,7,107,226,197,29,28-11-2,22-14-5,
2006-07,7 y-NJD,NJD,82,49,24,9,107,216,201,15,25-10-6,24-14-3,
2006-07,8 y-VAN,VAN,82,49,26,7,105,222,201,21,26-11-4,23-15-3,
2006-07,9 x-OTT,OTT,82,48,25,9,105,288,222,66,25-13-3,23-12-6,
